Brand,Model,Asin,FK_link,Croma_link,Product_Title,Price,Offer_Type,Offer_Description,Timestamp
OnePlus,OnePlus 13 5G,B0DQ8S77V6,https://www.flipkart.com/oneplus-13-arctic-dawn-512-gb/p/itm7e57559a9aa18?pid=MOBH8CHZPMYBYN3D&lid=LSTMOBH8CHZPMYBYN3DH5QOUC&marketplace=FLIPKART&q=OnePlus+13+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84a27944-d986-4e04-be2d-36e0f075acfd.MOBH8CHZPMYBYN3D.SEARCH&ppt=sp&ppn=sp&ssid=3sotm4z6kg0000001738990908456&qH=b8707a10c223e062,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-arctic-dawn-/p/312538,"OnePlus 13 5G (16GB RAM, 512GB, Arctic Dawn)","₹76,999.00",Super Savings (2 OFFERS),"Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more
ICICI Bank
Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:22
OnePlus,OnePlus 13 5G,B0DQ8S77V6,https://www.flipkart.com/oneplus-13-arctic-dawn-512-gb/p/itm7e57559a9aa18?pid=MOBH8CHZPMYBYN3D&lid=LSTMOBH8CHZPMYBYN3DH5QOUC&marketplace=FLIPKART&q=OnePlus+13+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84a27944-d986-4e04-be2d-36e0f075acfd.MOBH8CHZPMYBYN3D.SEARCH&ppt=sp&ppn=sp&ssid=3sotm4z6kg0000001738990908456&qH=b8707a10c223e062,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-arctic-dawn-/p/312538,"OnePlus 13 5G (16GB RAM, 512GB, Arctic Dawn)","₹76,999.00","Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.","View more
ICICI Bank
Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:22
OnePlus,OnePlus 13 5G,B0DQ8S77V6,https://www.flipkart.com/oneplus-13-arctic-dawn-512-gb/p/itm7e57559a9aa18?pid=MOBH8CHZPMYBYN3D&lid=LSTMOBH8CHZPMYBYN3DH5QOUC&marketplace=FLIPKART&q=OnePlus+13+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84a27944-d986-4e04-be2d-36e0f075acfd.MOBH8CHZPMYBYN3D.SEARCH&ppt=sp&ppn=sp&ssid=3sotm4z6kg0000001738990908456&qH=b8707a10c223e062,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-arctic-dawn-/p/312538,"OnePlus 13 5G (16GB RAM, 512GB, Arctic Dawn)","₹76,999.00","Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.",View more,2025-09-08 17:52:22
OnePlus,OnePlus 13 5G,B0DQ8S77V6,https://www.flipkart.com/oneplus-13-arctic-dawn-512-gb/p/itm7e57559a9aa18?pid=MOBH8CHZPMYBYN3D&lid=LSTMOBH8CHZPMYBYN3DH5QOUC&marketplace=FLIPKART&q=OnePlus+13+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84a27944-d986-4e04-be2d-36e0f075acfd.MOBH8CHZPMYBYN3D.SEARCH&ppt=sp&ppn=sp&ssid=3sotm4z6kg0000001738990908456&qH=b8707a10c223e062,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-arctic-dawn-/p/312538,"OnePlus 13 5G (16GB RAM, 512GB, Arctic Dawn)","₹76,999.00",ICICI Bank,"Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:22
OnePlus,OnePlus 13 5G,B0DQ8S77V6,https://www.flipkart.com/oneplus-13-arctic-dawn-512-gb/p/itm7e57559a9aa18?pid=MOBH8CHZPMYBYN3D&lid=LSTMOBH8CHZPMYBYN3DH5QOUC&marketplace=FLIPKART&q=OnePlus+13+&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=84a27944-d986-4e04-be2d-36e0f075acfd.MOBH8CHZPMYBYN3D.SEARCH&ppt=sp&ppn=sp&ssid=3sotm4z6kg0000001738990908456&qH=b8707a10c223e062,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-arctic-dawn-/p/312538,"OnePlus 13 5G (16GB RAM, 512GB, Arctic Dawn)","₹76,999.00",ICICI Bank,ICICI Bank,2025-09-08 17:52:22
OnePlus,OnePlus 13 5G,B0DQ8MJYXF,https://www.flipkart.com/oneplus-13-midnight-ocean-512-gb/p/itmb4659fd2a037f?pid=MOBH8CHWJSG2FNHH&lid=LSTMOBH8CHWJSG2FNHHFC339B&marketplace=FLIPKART&q=OnePlus%2013%20&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-midnight-ocean-/p/312534,"OnePlus 13 5G (16GB RAM, 512GB, Midnight Ocean)","₹76,999.00",Super Savings (2 OFFERS),"ICICI Bank
Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more
Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:29
OnePlus,OnePlus 13 5G,B0DQ8MJYXF,https://www.flipkart.com/oneplus-13-midnight-ocean-512-gb/p/itmb4659fd2a037f?pid=MOBH8CHWJSG2FNHH&lid=LSTMOBH8CHWJSG2FNHHFC339B&marketplace=FLIPKART&q=OnePlus%2013%20&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-midnight-ocean-/p/312534,"OnePlus 13 5G (16GB RAM, 512GB, Midnight Ocean)","₹76,999.00",ICICI Bank,"Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more
Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:29
OnePlus,OnePlus 13 5G,B0DQ8MJYXF,https://www.flipkart.com/oneplus-13-midnight-ocean-512-gb/p/itmb4659fd2a037f?pid=MOBH8CHWJSG2FNHH&lid=LSTMOBH8CHWJSG2FNHHFC339B&marketplace=FLIPKART&q=OnePlus%2013%20&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-midnight-ocean-/p/312534,"OnePlus 13 5G (16GB RAM, 512GB, Midnight Ocean)","₹76,999.00",ICICI Bank,"Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:29
OnePlus,OnePlus 13 5G,B0DQ8MJYXF,https://www.flipkart.com/oneplus-13-midnight-ocean-512-gb/p/itmb4659fd2a037f?pid=MOBH8CHWJSG2FNHH&lid=LSTMOBH8CHWJSG2FNHHFC339B&marketplace=FLIPKART&q=OnePlus%2013%20&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-midnight-ocean-/p/312534,"OnePlus 13 5G (16GB RAM, 512GB, Midnight Ocean)","₹76,999.00",ICICI Bank,ICICI Bank,2025-09-08 17:52:29
OnePlus,OnePlus 13 5G,B0DQ8MJYXF,https://www.flipkart.com/oneplus-13-midnight-ocean-512-gb/p/itmb4659fd2a037f?pid=MOBH8CHWJSG2FNHH&lid=LSTMOBH8CHWJSG2FNHHFC339B&marketplace=FLIPKART&q=OnePlus%2013%20&sattr[]=color&sattr[]=storage&sattr[]=ram&st=color&otracker=search,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-midnight-ocean-/p/312534,"OnePlus 13 5G (16GB RAM, 512GB, Midnight Ocean)","₹76,999.00","Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.",View more,2025-09-08 17:52:29
OnePlus,OnePlus 13 5G,B0DQ8MPQFF,https://www.flipkart.com/oneplus-oneplus13-black-eclipse-1-tb/p/itmaefbb010a88c6,https://www.croma.com/oneplus-13-5g-24gb-ram-1tb-black-eclipse-/p/312543,"OnePlus 13 5G (24GB RAM, 1TB, Black Eclipse)","₹89,999.00",Super Savings (2 OFFERS),"ICICI Bank
Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more
Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:36
OnePlus,OnePlus 13 5G,B0DQ8MPQFF,https://www.flipkart.com/oneplus-oneplus13-black-eclipse-1-tb/p/itmaefbb010a88c6,https://www.croma.com/oneplus-13-5g-24gb-ram-1tb-black-eclipse-/p/312543,"OnePlus 13 5G (24GB RAM, 1TB, Black Eclipse)","₹89,999.00",ICICI Bank,"Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more
Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:36
OnePlus,OnePlus 13 5G,B0DQ8MPQFF,https://www.flipkart.com/oneplus-oneplus13-black-eclipse-1-tb/p/itmaefbb010a88c6,https://www.croma.com/oneplus-13-5g-24gb-ram-1tb-black-eclipse-/p/312543,"OnePlus 13 5G (24GB RAM, 1TB, Black Eclipse)","₹89,999.00",ICICI Bank,"Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:36
OnePlus,OnePlus 13 5G,B0DQ8MPQFF,https://www.flipkart.com/oneplus-oneplus13-black-eclipse-1-tb/p/itmaefbb010a88c6,https://www.croma.com/oneplus-13-5g-24gb-ram-1tb-black-eclipse-/p/312543,"OnePlus 13 5G (24GB RAM, 1TB, Black Eclipse)","₹89,999.00",ICICI Bank,ICICI Bank,2025-09-08 17:52:36
OnePlus,OnePlus 13 5G,B0DQ8MPQFF,https://www.flipkart.com/oneplus-oneplus13-black-eclipse-1-tb/p/itmaefbb010a88c6,https://www.croma.com/oneplus-13-5g-24gb-ram-1tb-black-eclipse-/p/312543,"OnePlus 13 5G (24GB RAM, 1TB, Black Eclipse)","₹89,999.00","Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.",View more,2025-09-08 17:52:36
OnePlus,OnePlus 13 5G,B0DQ8W9CTT,https://www.flipkart.com/oneplus-13-black-eclipse-512-gb/p/itmb4659fd2a037f?pid=MOBHAXYUZ7QPYKCQ&lid=LSTMOBHAXYUZ7QPYKCQ5KLLSH&marketplace=FLIPKART&q=OnePlus+13++%2816GB+RAM%2C+512GB+Storage+Black+Eclipse%29&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=35f9aac9-99d3-4189-9b0e-dd809e2bee03.MOBHAXYUZ7QPYKCQ.SEARCH&ppt=sp&ppn=sp&ssid=g26ew7fly80000001747141577119&qH=d0e29adc776e0697,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-black-eclipse-/p/312540,"OnePlus 13 5G (16GB RAM, 512GB, Black Eclipse)","₹76,999.00",Super Savings (2 OFFERS),"Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more
ICICI Bank
Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:43
OnePlus,OnePlus 13 5G,B0DQ8W9CTT,https://www.flipkart.com/oneplus-13-black-eclipse-512-gb/p/itmb4659fd2a037f?pid=MOBHAXYUZ7QPYKCQ&lid=LSTMOBHAXYUZ7QPYKCQ5KLLSH&marketplace=FLIPKART&q=OnePlus+13++%2816GB+RAM%2C+512GB+Storage+Black+Eclipse%29&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=35f9aac9-99d3-4189-9b0e-dd809e2bee03.MOBHAXYUZ7QPYKCQ.SEARCH&ppt=sp&ppn=sp&ssid=g26ew7fly80000001747141577119&qH=d0e29adc776e0697,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-black-eclipse-/p/312540,"OnePlus 13 5G (16GB RAM, 512GB, Black Eclipse)","₹76,999.00","Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.","View more
ICICI Bank
Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:43
OnePlus,OnePlus 13 5G,B0DQ8W9CTT,https://www.flipkart.com/oneplus-13-black-eclipse-512-gb/p/itmb4659fd2a037f?pid=MOBHAXYUZ7QPYKCQ&lid=LSTMOBHAXYUZ7QPYKCQ5KLLSH&marketplace=FLIPKART&q=OnePlus+13++%2816GB+RAM%2C+512GB+Storage+Black+Eclipse%29&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=35f9aac9-99d3-4189-9b0e-dd809e2bee03.MOBHAXYUZ7QPYKCQ.SEARCH&ppt=sp&ppn=sp&ssid=g26ew7fly80000001747141577119&qH=d0e29adc776e0697,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-black-eclipse-/p/312540,"OnePlus 13 5G (16GB RAM, 512GB, Black Eclipse)","₹76,999.00","Instant discount  upto Rs.4000 on ICICI Bank credit card. Discounted price inclusive of cashback will be applied on Bank payment/OTP page, post clicking” Proceed to pay”. Select offer under view all offer segment on payment page to avail the benefit. T&C Apply.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.",View more,2025-09-08 17:52:43
OnePlus,OnePlus 13 5G,B0DQ8W9CTT,https://www.flipkart.com/oneplus-13-black-eclipse-512-gb/p/itmb4659fd2a037f?pid=MOBHAXYUZ7QPYKCQ&lid=LSTMOBHAXYUZ7QPYKCQ5KLLSH&marketplace=FLIPKART&q=OnePlus+13++%2816GB+RAM%2C+512GB+Storage+Black+Eclipse%29&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=35f9aac9-99d3-4189-9b0e-dd809e2bee03.MOBHAXYUZ7QPYKCQ.SEARCH&ppt=sp&ppn=sp&ssid=g26ew7fly80000001747141577119&qH=d0e29adc776e0697,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-black-eclipse-/p/312540,"OnePlus 13 5G (16GB RAM, 512GB, Black Eclipse)","₹76,999.00",ICICI Bank,"Instant discount Rs.4250 upto 6 months No-cost EMI on ICICI Bank Credit & debit Card. Discounted price inclusive of cashback & No-cost EMI benefit will be applied on Bank payment/OTP page. Select offer under “view all offers” segment on payment page to avail the benefit.IMPORTANT! To Avail this offer, please ensure this is the only product in your cart. T&C Apply.
View more",2025-09-08 17:52:43
OnePlus,OnePlus 13 5G,B0DQ8W9CTT,https://www.flipkart.com/oneplus-13-black-eclipse-512-gb/p/itmb4659fd2a037f?pid=MOBHAXYUZ7QPYKCQ&lid=LSTMOBHAXYUZ7QPYKCQ5KLLSH&marketplace=FLIPKART&q=OnePlus+13++%2816GB+RAM%2C+512GB+Storage+Black+Eclipse%29&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=35f9aac9-99d3-4189-9b0e-dd809e2bee03.MOBHAXYUZ7QPYKCQ.SEARCH&ppt=sp&ppn=sp&ssid=g26ew7fly80000001747141577119&qH=d0e29adc776e0697,https://www.croma.com/oneplus-13-5g-16gb-ram-512gb-black-eclipse-/p/312540,"OnePlus 13 5G (16GB RAM, 512GB, Black Eclipse)","₹76,999.00",ICICI Bank,ICICI Bank,2025-09-08 17:52:43
